,Đường,Phường-Xã,Quận-Huyện,Thành Phố,Giá,Loại tin,Loại BDS,Chính chủ,Pháp lý,DT,Chiều ngang,Chiều dài,Số lầu,Số phòng ngủ,Hướng,Đường trước nhà,Phòng ăn,Nhà bếp,Sân thượng,Chổ để xe hơi
2206,Đường Nguyễn Chí Thanh, Phường 7, Quận 11, Hồ Chí Minh,37 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,92 m,"4,4m",19m,4,5,_,16m,---,---,---,---
2207,Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Quận 2, Hồ Chí Minh,185 tỷ,Cần bán,"Biệt thự, nhà liền kề",---,Giấy tờ hợp lệ,946 m,20m,50m,3,5,_,12m,Y,Y,Y,Y
2208,Đường Hồng Đức, Phường Bình Thọ, Thành phố Thủ Đức, Hồ Chí Minh,99 tỷ,Cần bán,Nhà mặt tiền,---,---,800 m,16m,50m,3,3,_,12m,---,---,---,---
2209,Đường Nguyễn Văn Bứa, Xã Xuân Thới Sơn, Huyện Hóc Môn, Hồ Chí Minh,650 triệu,Cần bán,"Phòng trọ, nhà trọ",---,Sổ hồng/ Sổ đỏ,240 m,4m,3m,---,---,_,2m,---,---,---,---
2210,Đường Bạch Đằng, Phường 2, Quận Tân Bình, Hồ Chí Minh,"29,5 tỷ",Cần bán,Nhà trong hẻm,---,---,130 m,7m,19m,5,22,_,8m,---,---,---,---
2211,Đường Trần Khắc Chân, Phường Tân Định, Quận 1, Hồ Chí Minh,"1,47 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,56 m,4m,14m,2,3,_,4m,Y,Y,Y,Y
2212,Đường Nguyễn Chí Thanh, Phường 7, Quận 11, Hồ Chí Minh,40 tỷ,Cần bán,Nhà mặt tiền,---,---,92 m,"4,4m",21m,4,4,_,16m,---,---,---,---
2213,Đường K300, Phường 12, Quận Tân Bình, Hồ Chí Minh,"25,5 tỷ",Cần bán,Nhà mặt tiền,---,---,152 m,---,---,3,5,_,10m,---,---,---,---
2214,Đường Nguyễn Thị Rành, Thị Trấn Củ Chi, Huyện Củ Chi, Hồ Chí Minh,750 triệu,Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,124 m,5m,25m,---,---,Đông Nam,10m,---,---,---,---
2215,Đường Dương Công Khi, Xã Tân Thới Nhì, Huyện Hóc Môn, Hồ Chí Minh,650 triệu,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,85 m,5m,17m,1,1,Đông Nam,10m,---,---,---,---
2216,Đường Bàu Cát 1, Phường 14, Quận Tân Bình, Hồ Chí Minh,"13,6 tỷ",Cần bán,Nhà mặt tiền,---,---,88 m,---,---,5,5,_,12m,---,---,---,---
2217,Đường Nguyễn Văn Bứa, Xã Xuân Thới Thượng, Huyện Hóc Môn, Hồ Chí Minh,450 triệu,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,48 m,4m,12m,2,2,_,6m,---,---,---,---
2218,Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, Hồ Chí Minh,"6,5 tỷ",Cần bán,Nhà trong hẻm,---,---,82 m,5m,"16,5m",3,6,_,6m,---,---,---,---
2219,Đường Đặng Thuỳ Trâm, Phường 13, Quận Bình Thạnh, Hồ Chí Minh,"14,5 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,120 m,6m,20m,3,4,_,12m,Y,Y,Y,Y
2220,Đường Trương Vĩnh Ký, Phường Tân Thành, Quận Tân Phú, Hồ Chí Minh,"8,6 tỷ",Cần bán,Nhà mặt tiền,---,---,45 m,"3,5m","12,5m",3,4,_,8m,---,---,---,---
2221,Đường Xô Viết Nghệ Tĩnh, Phường 26, Quận Bình Thạnh, Hồ Chí Minh,38 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,230 m,12m,24m,5,39,_,12m,Y,Y,Y,Y
2222,Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh,"4,2 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,48 m,4m,12m,1,2,_,5m,---,---,---,---
2223,Đường Trần Văn Khánh, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh,"3,1 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,28 m,4m,7m,3,3,_,4m,---,---,---,---
2224,Đường Số 18, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Hồ Chí Minh,19 tỷ,Cần bán,"Biệt thự, nhà liền kề",---,Sổ hồng/ Sổ đỏ,150 m,10m,15m,2,4,Tây Bắc,15m,Y,Y,Y,Y
2225,hcm Đường Trần Xuân Soạn, Phường Tân Quy, Quận 7, Hồ Chí Minh,"4,42 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,49 m,"3,57m",14m,1,3,_,4m,Y,Y,Y,Y
2226,Đường Lũy Bán Bích, Phường Hòa Thạnh, Quận Tân Phú, Hồ Chí Minh,"3,6 tỷ",Cần bán,Nhà trong hẻm,---,---,38 m,---,---,1,2,_,4m,---,---,---,---
2227,Đường Xô Viết Nghệ Tĩnh, Phường 21, Quận Bình Thạnh, Hồ Chí Minh,"2,95 tỷ",Cần bán,Căn hộ chung cư,---,---,82 m,---,---,10,3,_,---,---,---,---,---
2228,Đường Trần Văn Mười, Xã Xuân Thới Đông, Huyện Hóc Môn, Hồ Chí Minh,900 triệu,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,162 m,"7,5m",21m,1,1,_,4m,---,---,---,---
2229,Đường số 898, Phường Phú Hữu, Quận 9, Hồ Chí Minh,"3,2 tỷ",Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,70 m,5m,14m,---,---,Đông,8m,---,---,---,---
2230,Đường Hồng Hà, Phường 2, Quận Tân Bình, Hồ Chí Minh,"29,5 tỷ",Cần bán,Nhà trong hẻm,---,---,132 m,7m,19m,5,22,_,6m,---,---,---,---
2231,Đường Lam Sơn, Phường 6, Quận Bình Thạnh, Hồ Chí Minh,"27,5 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,162 m,7m,23m,3,4,_,6m,Y,Y,Y,Y
2232,Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, Hồ Chí Minh,6 tỷ,Cần bán,Nhà trong hẻm,---,---,72 m,4m,18m,3,6,_,8m,---,---,---,---
2233,Đường Số 20, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Hồ Chí Minh,"17,5 tỷ",Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,154 m,"8,8m","17,5m",---,---,Tây Bắc,15m,---,---,---,---
2234,Đường D3, Phường 25, Quận Bình Thạnh, Hồ Chí Minh,"12,5 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,90 m,"4,5m",20m,2,2,_,7m,Y,Y,Y,Y
2235,Đường Số 18, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Hồ Chí Minh,"19,5 tỷ",Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,215 m,11m,20m,---,---,Nam,15m,---,---,---,---
2236,Đường Lê Văn Khương, Phường Hiệp Thành, Quận 12, Hồ Chí Minh,"1,7 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,36 m,"3,6m",10m,2,3,Bắc,5m,---,---,---,---
2237,Đường Gò Cát, Phường Phú Hữu, Quận 9, Hồ Chí Minh,22 triệu / m,Cần bán,"Đất nền, liền kề, đất dự án",---,---,360 m,---,---,---,---,_,5m,---,---,---,---
2238,Đường Quốc Hương, Phường Thảo Điền, Quận 2, Hồ Chí Minh,53 tỷ,Cần bán,Nhà mặt tiền,---,---,240 m,10m,24m,3,4,_,8m,---,---,---,---
2239,Đường Gò Cát, Phường Phú Hữu, Quận 9, Hồ Chí Minh,23 triệu / m,Cần bán,"Đất nền, liền kề, đất dự án",---,---,400 m,---,---,---,---,_,12m,---,---,---,---
2240,Đường Nguyễn Xiển, Phường Long Bình, Quận 9, Hồ Chí Minh,"1,3 tỷ",Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,90 m,5m,12m,---,---,_,20m,---,---,---,---
2241,Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Hồ Chí Minh,"1,22 tỷ",Cần bán,"Phòng trọ, nhà trọ",---,Sổ hồng/ Sổ đỏ,168 m,6m,28m,2,---,_,12m,---,---,---,---
2242,B2.73 Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh,154 triệu / m,Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,120 m,6m,20m,---,---,Đông Nam,12m,---,---,---,---
2243,Đường số 385, Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh,"4,15 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,55 m,"4,5m","12,2m",1,1,_,5m,---,---,---,---
2244,Đường Hai Bà Trưng, Phường 6, Quận 3, Hồ Chí Minh,63 tỷ,Cần bán,Nhà mặt tiền,---,---,203 m,---,---,---,---,_,20m,---,---,---,---
2245,Đường Cách Mạng Tháng Tám, Phường 7, Quận Tân Bình, Hồ Chí Minh,"56,5 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,258 m,10m,35m,8,45,_,8m,Y,Y,Y,Y
2246,Đường Phạm Ngọc Thạch, Phường 6, Quận 3, Hồ Chí Minh,65 tỷ,Cần bán,"Biệt thự, nhà liền kề",---,---,273 m,---,---,---,---,_,20m,---,---,---,---
2247,Đường Gò Cát, Phường Phú Hữu, Quận 9, Hồ Chí Minh,23 triệu / m,Cần bán,"Đất nền, liền kề, đất dự án",---,---,400 m,---,---,---,---,_,12m,---,---,---,---
2248,Đường Trịnh Quang Nghị, Phường 7, Quận 8, Hồ Chí Minh,"1,25 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,48 m,4m,12m,1,2,_,5m,Y,Y,Y,Y
2249,Đường Lê Văn Sỹ, Phường 6, Quận 3, Hồ Chí Minh,48 tỷ,Cần bán,"Biệt thự, nhà liền kề",---,---,200 m,---,---,---,---,_,20m,---,---,---,---
2250,Đường Nguyễn Quý Yêm, Phường An Lạc, Quận Bình Tân, Hồ Chí Minh,"5,7 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,68 m,4m,17m,4,4,Bắc,6m,Y,Y,Y,---
2251,Đường Kênh Ba Bò, Phường Bình Chiểu, Thành phố Thủ Đức, Hồ Chí Minh,"3,2 tỷ",Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,100 m,5m,16m,---,---,_,20m,---,---,---,---
2252,68 Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Hồ Chí Minh,"4,2 tỷ",Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,101 m,"6,4m",16m,---,---,Đông,10m,---,---,---,---
2253,Hồ Chí Minh Đường Số 7, Phường Bình Trị Đông B, Quận Bình Tân, Hồ Chí Minh,"1,2 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,48 m,4m,10m,1,2,_,5m,Y,Y,Y,Y
2254,Đường Trần Quốc Thảo, Phường 7, Quận 3, Hồ Chí Minh,90 tỷ,Cần bán,Nhà mặt tiền,---,---,430 m,---,---,---,---,_,20m,---,---,---,---
2255,Đường Gò Cát, Phường Phú Hữu, Quận 9, Hồ Chí Minh,22 triệu / m,Cần bán,"Đất nền, liền kề, đất dự án",---,---,400 m,---,---,---,---,_,5m,---,---,---,---
2256,Đường Phạm Ngọc Thạch, Phường 6, Quận 3, Hồ Chí Minh,184 tỷ,Cần bán,Nhà mặt tiền,---,---,184 m,---,---,4,7,_,20m,---,---,---,---
2257,Đường Cây Trôm, Xã Thái Mỹ, Huyện Củ Chi, Hồ Chí Minh,805 triệu,Cần bán,"Đất nông, lâm nghiệp",---,Sổ hồng/ Sổ đỏ,514 m,---,---,---,---,_,12m,---,---,---,---
2258,Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh,"8,7 tỷ",Cần bán,Nhà trong hẻm,---,---,45 m,---,---,3,5,_,3m,---,---,---,---
2259,Đường Cây Cám, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh,"1,46 tỷ",Cần bán,Nhà trong hẻm,---,---,40 m,4m,7m,1,2,_,6m,Y,Y,---,---
2260,Đường Ngô Văn Năm, Phường Bến Nghé, Quận 1, Hồ Chí Minh,70 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,106 m,---,---,2,4,_,30m,---,---,---,---
2261,Đường Lê Thị Hà, Xã Tân Hiệp, Huyện Hóc Môn, Hồ Chí Minh,750 triệu,Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,90 m,5m,18m,---,---,_,20m,---,---,---,---
2262,Đường Trường Chinh, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh,"1,3 tỷ",Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,60 m,5m,10m,---,---,_,6m,---,---,---,---
2263,Đường Lê Thánh Tôn, Phường Bến Thành, Quận 1, Hồ Chí Minh,58 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,144 m,---,---,7,14,_,30m,---,---,---,---
2264,Đường Đất Thánh, Phường 6, Quận Tân Bình, Hồ Chí Minh,"6,9 tỷ",Cần bán,Nhà trong hẻm,---,Giấy tờ hợp lệ,78 m,"4,2m",20m,1,2,_,3m,---,---,---,---
2265,Đường Nguyễn Trãi, Phường 3, Quận 5, Hồ Chí Minh,32 tỷ,Cần bán,Nhà mặt tiền,---,---,72 m,4m,18m,1,2,Đông Nam,30m,Y,Y,Y,Y
2266,Đường Tô Ký, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh,900 triệu,Cần bán,"Đất thổ cư, đất ở",---,---,85 m,5m,17m,---,---,_,6m,---,---,---,---
2267,Đường Phạm Văn Hai, Phường 3, Quận Tân Bình, Hồ Chí Minh,"18,9 tỷ",Cần bán,Nhà mặt tiền,---,---,100 m,---,---,2,5,_,10m,---,---,---,---
2268,Thạnh Lộc Quận 12 Hồ Chí Minh Đường Thạnh Lộc 28, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh,"3,95 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,90 m,5m,---,2,2,_,5m,Y,Y,---,Y
2269,Đường Nguyễn Bá Tuyển, Phường 12, Quận Tân Bình, Hồ Chí Minh,26 tỷ,Cần bán,Nhà mặt tiền,---,---,180 m,8m,18m,1,1,_,15m,Y,Y,Y,Y
2270,Đường Lê Thánh Tôn, Phường Bến Thành, Quận 1, Hồ Chí Minh,69 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,160 m,---,---,7,14,_,30m,---,---,---,---
2271,Đường Rạch Ông Đồ, Xã Bình Chánh, Huyện Bình Chánh, Hồ Chí Minh,800 triệu,Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,100 m,5m,20m,---,---,_,8m,---,---,---,---
2272,Đường Huy Cận, Phường Phước Long B, Quận 9, Hồ Chí Minh,"3,1 tỷ",Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,80 m,5m,16m,---,---,_,20m,---,---,---,---
2273,Đường Thống Nhất, Phường 10, Quận Gò Vấp, Hồ Chí Minh,7 tỷ,Cần bán,Nhà trong hẻm,---,---,80 m,4m,20m,5,6,Đông Bắc,8m,Y,Y,Y,Y
2274,Đường Bùi Dương Lịch, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh,"1,38 tỷ",Cần bán,Nhà trong hẻm,---,Giấy tờ hợp lệ,40 m,4m,8m,1,2,_,3m,Y,Y,Y,---
2275,Đường Thành Thái, Phường 14, Quận 10, Hồ Chí Minh,"17,9 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,94 m,5m,19m,1,1,_,10m,---,---,---,---
2276,Đường Hồ Văn Huê, Phường 9, Quận Phú Nhuận, Hồ Chí Minh,43 tỷ,Cần bán,Nhà mặt tiền,---,---,241 m,"9,5m",23m,3,5,_,30m,---,---,---,---
2277,Đường Trần Quý Khoách, Phường Tân Định, Quận 1, Hồ Chí Minh,"36,5 tỷ",Cần bán,Nhà mặt tiền,---,---,112 m,8m,14m,3,3,_,12m,---,---,---,---
2278,Đường Hòa Hưng, Phường 12, Quận 10, Hồ Chí Minh,"17,5 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,82 m,"4,3m",20m,2,4,_,30m,---,---,---,---
2279,Đường Trần Khánh Dư, Phường Tân Định, Quận 1, Hồ Chí Minh,36 tỷ,Cần bán,Nhà mặt tiền,---,---,93 m,"6,2m",17m,3,3,_,12m,---,---,---,---
2280,Đường Ụ Ghe, Phường Tam Phú, Thành phố Thủ Đức, Hồ Chí Minh,"6,8 tỷ",Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,120 m,---,---,---,---,Đông Bắc,5m,---,---,---,---
2281,Đường Thành Thái, Phường 12, Quận 10, Hồ Chí Minh,15 tỷ,Cần bán,Nhà trong hẻm,---,---,68 m,4m,17m,3,6,_,10m,Y,Y,Y,Y
2282,Đường Trần Quang Khải, Phường Tân Định, Quận 1, Hồ Chí Minh,"39,5 tỷ",Cần bán,Nhà mặt tiền,---,---,80 m,4m,20m,7,14,_,18m,---,---,---,---
2283,Đường Ba Vì, Phường 15, Quận 10, Hồ Chí Minh,"20,5 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,100 m,4m,25m,2,5,_,20m,---,---,---,---
2284,Đường Hai Bà Trưng, Phường Tân Định, Quận 1, Hồ Chí Minh,39 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,78 m,"4,1m",19m,1,2,_,30m,---,---,---,---
2285,Đường Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh,70 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,136 m,---,---,1,2,_,30m,---,---,---,---
2286,Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh,"2,7 tỷ",Cần bán,Căn hộ chung cư,---,Giấy tờ hợp lệ,69 m,---,---,5,2,Đông Nam,---,---,---,---,---
2287,Đường An Dương Vương, Phường 8, Quận 5, Hồ Chí Minh,55 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,70 m,4m,"18,3m",3,3,_,40m,---,---,---,---
2288,Đường Lê Thị Riêng, Phường Bến Thành, Quận 1, Hồ Chí Minh,50 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,180 m,---,---,6,12,_,30m,---,---,---,---
2289,Đường Nguyễn Thái Bình, Phường 12, Quận Tân Bình, Hồ Chí Minh,18 tỷ,Cần bán,Nhà mặt tiền,---,---,180 m,10m,18m,2,5,_,8m,---,---,---,---
2290,Đường Cao Thắng, Phường 5, Quận 3, Hồ Chí Minh,320 tỷ,Cần bán,Nhà mặt tiền,---,---,400 m,10m,40m,10,10,_,20m,---,---,---,---
2291,Đường Nguyễn Văn Trỗi, Phường 8, Quận Phú Nhuận, Hồ Chí Minh,250 tỷ,Cần bán,Nhà mặt tiền,---,---,500 m,15m,35m,1,3,_,30m,---,---,---,---
2292,Đường Lý Tự Trọng, Phường Bến Thành, Quận 1, Hồ Chí Minh,700 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,500 m,20m,25m,5,5,_,20m,---,---,---,---
2293,Đường Lê Sát, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh,"7,1 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,156 m,"3,6m",13m,3,4,_,16m,Y,Y,Y,Y
2294,Đường Cao Lỗ, Phường 5, Quận 8, Hồ Chí Minh,"29,5 tỷ",Cần bán,Nhà mặt tiền,---,---,400 m,8m,20m,3,5,_,20m,---,---,---,---
2295,Đường Bùi Tư Toàn, Phường An Lạc, Quận Bình Tân, Hồ Chí Minh,"4,5 tỷ",Cần bán,Nhà trong hẻm,---,---,40 m,4m,10m,3,4,Bắc,4m,Y,Y,Y,---
2296,Đường Cộng Hòa, Phường 12, Quận Tân Bình, Hồ Chí Minh,110 tỷ,Cần bán,Nhà mặt tiền,---,---,220 m,10m,22m,8,8,_,30m,---,---,---,---
2297,Đường Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Hồ Chí Minh,65 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,252 m,12m,23m,1,1,_,8m,---,---,---,---
2298,Đường Phạm Viết Chánh, Phường 19, Quận Bình Thạnh, Hồ Chí Minh,60 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,235 m,10m,22m,9,16,_,12m,---,---,---,---
2299,Đường Hoàng Văn Thụ, Phường 4, Quận Tân Bình, Hồ Chí Minh,100 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,420 m,9m,50m,5,10,_,30m,---,---,---,---
2300,Đường Lam Sơn, Phường 2, Quận Tân Bình, Hồ Chí Minh,70 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,362 m,12m,26m,1,3,_,16m,---,---,---,---
2301,Đường Hoàng Hoa Thám, Phường 13, Quận Tân Bình, Hồ Chí Minh,38 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,220 m,"8,5m",26m,3,5,_,12m,---,---,---,---
2302,Đường Bà Thiên, Xã Nhuận Đức, Huyện Củ Chi, Hồ Chí Minh,"5,6 tỷ",Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,1.079 m,11m,100m,---,---,_,12m,---,---,---,---
2303,Đường Cao Thắng, Phường 4, Quận 3, Hồ Chí Minh,96 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,160 m,---,---,8,16,_,30m,---,---,---,---
2304,Đường Nguyễn Chí Thanh, Phường 7, Quận 11, Hồ Chí Minh,40 tỷ,Cần bán,Nhà mặt tiền,---,Giấy tờ hợp lệ,90 m,"4,5m",20m,3,5,_,20m,---,---,---,---
2305,Đường Trương Công Định, Phường 14, Quận Tân Bình, Hồ Chí Minh,50 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,400 m,20m,21m,3,4,Đông,6m,Y,Y,Y,---
2306,Đường Bạch Đằng, Phường 2, Quận Tân Bình, Hồ Chí Minh,72 tỷ,Cần bán,Nhà mặt tiền,---,---,265 m,"8,5m",30m,8,8,_,20m,---,---,---,---
2307,Đường Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh, Hồ Chí Minh,12 tỷ,Cần bán,Nhà mặt tiền,---,---,140 m,---,---,4,8,_,30m,---,---,---,---
2308,Đường Nguyễn Văn Đậu, Phường 11, Quận Bình Thạnh, Hồ Chí Minh,160 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,600 m,16m,50m,8,8,_,12m,---,---,---,---
2309,Đường Nguyễn Đình Chiểu, Phường 4, Quận 3, Hồ Chí Minh,48 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,96 m,8m,14m,3,6,_,30m,---,---,---,---
2310,Đường Võ Văn Tần, Phường 6, Quận 3, Hồ Chí Minh,40 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,80 m,4m,23m,7,14,_,20m,---,---,---,---
2311,Đường Hoàng Văn Thụ, Phường 15, Quận Phú Nhuận, Hồ Chí Minh,130 tỷ,Cần bán,Nhà mặt tiền,---,---,270 m,10m,27m,8,8,_,30m,---,---,---,---
2312,Đường Trần Quang Khải, Phường Tân Định, Quận 1, Hồ Chí Minh,55 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,137 m,8m,18m,5,8,_,10m,---,---,---,---
2313,Đường Mai Thị Lựu, Phường Đa Kao, Quận 1, Hồ Chí Minh,220 triệu / m,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,400 m,20m,20m,1,1,_,12m,---,---,---,---
2314,Đường Trần Bình Trọng, Phường 5, Quận Gò Vấp, Hồ Chí Minh,260 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,1.500 m,20m,60m,7,52,_,12m,---,---,---,---
2315,Đường Bia Truyền Thống, Phường Tân Tạo, Quận Bình Tân, Hồ Chí Minh,"3,3 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,200 m,"4,3m",12m,3,5,Đông,7m,Y,Y,Y,Y
2316,Đường An Dương Vương, Phường 4, Quận 5, Hồ Chí Minh,"4,5 tỷ",Cần bán,Nhà trong hẻm,---,Giấy tờ hợp lệ,35 m,"2,75m",13m,1,2,_,"2,5m",---,---,---,---
2317,Đường Hồ Văn Long, Phường Tân Tạo, Quận Bình Tân, Hồ Chí Minh,"3,3 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,200 m,"4,3m",12m,3,5,Đông,7m,Y,Y,Y,Y
2318,Đường Lê Trọng Tấn, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh,"2,175 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,200 m,"4,3m",12m,3,5,Đông,7m,Y,Y,Y,Y
2319,Đường Lê Thị Hồng Gấm, Phường Nguyễn Thái Bình, Quận 1, Hồ Chí Minh,75 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,72 m,---,---,4,8,_,30m,---,---,---,---
2320,Đường Tân Hòa Đông, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh,"2,175 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,200 m,"4,3m",12m,3,5,Đông,7m,Y,Y,Y,Y
2321,Đường Hoàng Việt, Phường 4, Quận Tân Bình, Hồ Chí Minh,65 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,320 m,10m,32m,1,5,_,20m,Y,Y,Y,Y
2322,Đường Nguyễn Văn Nguyễn, Phường Tân Định, Quận 1, Hồ Chí Minh,52 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,144 m,---,---,9,18,_,30m,---,---,---,---
2323,Đường Nguyễn Thị Tú, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh,"2,175 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,200 m,"4,3m",12m,3,5,Đông,7m,Y,Y,Y,Y
2324,Đường Lý Thường Kiệt, Phường 14, Quận 10, Hồ Chí Minh,"11,5 tỷ",Cần bán,Nhà trong hẻm,---,Giấy tờ hợp lệ,76 m,5m,15m,2,3,_,7m,---,---,---,---
2325,Đường Bình Thành, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh,"2,175 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,200 m,"4,3m",12m,3,5,Đông,7m,Y,Y,Y,Y
